customer_id,customer_name,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,churn
BD-11320,Bill Donatelli,34,12,5718.521,4,5,5,14,Champions,0
BD-11500,Bradley Drucker,36,6,4411.2429999999995,4,3,5,12,Loyal Customers,0
BD-11560,Brendan Dodson,279,2,320.54,1,1,1,3,Lost Customers,1
BD-11605,Brian Dahlen,98,7,3288.471,3,3,4,10,Loyal Customers,1
BD-11620,Brian DeCherney,70,6,1538.11,3,3,2,8,Potential Loyalists,0
BD-11635,Brian Derr,10,3,582.646,5,1,1,7,Potential Loyalists,0
BD-11725,Bruce Degenhardt,94,6,1526.5,3,3,2,8,Potential Loyalists,1
BD-11770,Bryan Davis,328,6,658.466,1,3,1,5,At Risk,1
BE-11335,Bill Eplett,120,5,4204.676,2,2,4,8,Potential Loyalists,1
BE-11410,Bobby Elias,99,5,2261.438,3,2,3,8,Potential Loyalists,1
BE-11455,Brad Eason,255,6,1727.652,1,3,2,6,At Risk,1
BF-10975,Barbara Fisher,92,7,599.798,3,3,1,7,Potential Loyalists,1
BF-11005,Barry Franz,40,4,1333.88,4,1,2,7,Potential Loyalists,0
BF-11020,Barry Französisch,75,8,2888.506,3,4,4,11,Loyal Customers,0
BF-11080,Bart Folk,26,3,272.95,5,1,1,7,Potential Loyalists,0
BF-11170,Ben Ferrer,17,11,5907.972,5,5,5,15,Champions,0
BF-11215,Benjamin Farhat,66,4,1585.162,3,1,2,6,At Risk,0
BF-11275,Beth Fritzler,58,3,791.9899999999999,3,1,1,5,At Risk,0
BG-11035,Barry Gonzalez,29,8,2798.948,4,4,4,12,Loyal Customers,0
BG-11695,Brooke Gillingham,37,6,1874.172,4,3,3,10,Loyal Customers,0
BG-11740,Bruce Geld,58,6,1006.356,3,3,2,8,Potential Loyalists,0
BH-11710,Brosina Hoffman,24,8,6255.351,5,4,5,14,Champions,0
BK-11260,Berenike Kampe,78,6,659.1379999999999,3,3,1,7,Potential Loyalists,0
BM-11140,Becky Martin,308,4,11789.63,1,1,5,7,Potential Loyalists,1
BM-11575,Brendan Murry,101,6,808.162,3,3,1,7,Potential Loyalists,1
BM-11650,Brian Moss,34,11,7294.185,4,5,5,14,Champions,0
BM-11785,Bryan Mills,219,10,1338.842,2,5,2,9,Potential Loyalists,1
BN-11470,Brad Norvell,25,4,265.296,5,1,1,7,Potential Loyalists,0
BN-11515,Bradley Nguyen,10,5,1459.344,5,2,2,9,Potential Loyalists,0
BO-11350,Bill Overfelt,138,5,2682.728,2,2,3,7,Potential Loyalists,1
BO-11425,Bobby Odegard,76,2,130.83,3,1,1,5,At Risk,0
BP-11050,Barry Pond,84,5,983.42,3,2,2,7,Potential Loyalists,0
BP-11095,Bart Pistole,18,12,2442.044,5,5,3,13,Champions,0
BP-11155,Becky Pak,90,6,1697.8609999999999,3,3,2,8,Potential Loyalists,0
BP-11185,Ben Peterman,2,9,3675.861,5,5,4,14,Champions,0
BP-11230,Benjamin Patterson,40,5,1181.49,4,2,2,8,Potential Loyalists,0
BP-11290,Beth Paige,13,7,2475.157,5,3,3,11,Loyal Customers,0
BS-11365,Bill Shonely,559,5,10501.653,1,2,5,8,Potential Loyalists,1
BS-11380,Bill Stewart,29,5,3887.834,4,2,4,10,Loyal Customers,0
BS-11590,Brendan Sweed,36,6,2454.928,4,3,3,10,Loyal Customers,0
BS-11665,Brian Stugart,583,3,3288.1099999999997,1,1,4,6,At Risk,1
BS-11755,Bruce Stewart,2,7,2562.382,5,3,3,11,Loyal Customers,0
BS-11800,Bryan Spruell,266,2,949.4300000000001,1,1,1,3,Lost Customers,1
BT-11305,Beth Thompson,337,5,2567.656,1,2,3,6,At Risk,1
BT-11395,Bill Tyler,303,6,2186.6130000000003,1,3,3,7,Potential Loyalists,1
BT-11440,Bobby Trafton,561,4,603.876,1,1,1,3,Lost Customers,1
BT-11485,Brad Thomas,660,2,415.19599999999997,1,1,1,3,Lost Customers,1
BT-11530,Bradley Talbott,92,5,2684.4919999999997,3,2,3,8,Potential Loyalists,1
BT-11680,Brian Thompson,21,7,3196.752,5,3,4,12,Loyal Customers,0
BV-11245,Benjamin Venier,335,5,1523.2730000000001,1,2,2,5,At Risk,1
BW-11065,Barry Weirich,213,3,385.516,2,1,1,4,At Risk,1
BW-11110,Bart Watters,122,8,4750.358,2,4,5,11,Loyal Customers,1
BW-11200,Ben Wallace,204,6,1738.406,2,3,2,7,Potential Loyalists,1
CA-11965,Carol Adams,97,6,3789.7228,3,3,4,10,Loyal Customers,1
CA-12055,Cathy Armstrong,402,5,1679.7240000000002,1,2,2,5,At Risk,1
CA-12265,Christina Anderson,57,9,2648.2872,3,5,3,11,Loyal Customers,0
CA-12310,Christine Abelman,14,4,1421.954,5,1,2,8,Potential Loyalists,0
CA-12775,Cynthia Arntzen,121,7,3041.566,2,3,4,9,Potential Loyalists,1
CB-12025,Cassandra Brandow,48,10,6076.139,4,5,5,14,Champions,0
CB-12415,Christy Brittain,27,8,1949.2,5,4,3,12,Loyal Customers,0
CB-12535,Claudia Bergmann,198,8,4246.4555,2,4,4,10,Loyal Customers,1
CC-12100,Chad Cunningham,458,6,1770.945,1,3,3,7,Potential Loyalists,1
CC-12145,Charles Crestani,107,7,2471.65,2,3,3,8,Potential Loyalists,1
CC-12220,Chris Cortes,21,12,3913.418,5,5,4,14,Champions,0
CC-12370,Christopher Conant,44,5,12129.072000000002,4,2,5,11,Loyal Customers,0
CC-12430,Chuck Clark,1,10,2870.05,5,5,4,14,Champions,0
CC-12475,Cindy Chapman,40,9,1659.438,4,5,2,11,Loyal Customers,0
CC-12550,Clay Cheatham,28,3,113.832,4,1,1,6,At Risk,0
CC-12610,Corey Catlett,35,7,2540.631,4,3,3,10,Loyal Customers,0
CC-12670,Craig Carreira,30,7,2269.7015,4,3,3,10,Loyal Customers,0
CC-12685,Craig Carroll,800,4,2854.1150000000002,1,1,4,6,At Risk,1
CD-11920,Carlos Daly,41,5,2033.968,4,2,3,9,Potential Loyalists,0
CD-11980,Carol Darley,55,3,639.766,3,1,1,5,At Risk,0
CD-12280,Christina DeMoss,43,2,1205.584,4,1,2,7,Potential Loyalists,0
CD-12790,Cynthia Delaney,400,5,1860.732,1,2,3,6,At Risk,1
CG-12040,Catherine Glotzbach,50,6,904.4680000000001,4,3,1,8,Potential Loyalists,0
CG-12520,Claire Gute,339,3,1148.7800000000002,1,1,2,4,At Risk,1
CH-12070,Cathy Hwang,692,3,1537.236,1,1,2,4,At Risk,1
CJ-11875,Carl Jackson,366,1,16.52,1,1,1,3,Lost Customers,1
CJ-12010,Caroline Jumper,190,8,11164.974,2,4,5,11,Loyal Customers,1
CK-12205,Chloris Kastensmidt,40,13,3154.855,4,5,4,13,Champions,0
CK-12325,Christine Kargatis,121,5,2945.321,2,2,4,8,Potential Loyalists,1
CK-12595,Clytie Kelty,44,11,2372.75,4,5,3,12,Loyal Customers,0
CK-12760,Cyma Kinney,83,9,1582.109,3,5,2,10,Loyal Customers,0
CL-11890,Carl Ludwig,107,4,1262.0140000000001,2,1,2,5,At Risk,1
CL-12565,Clay Ludtke,285,12,10880.546,1,5,5,11,Loyal Customers,1
CL-12700,Craig Leslie,106,5,2353.586,2,2,3,7,Potential Loyalists,1
CM-11815,Candace McMahon,132,6,1673.888,2,3,2,7,Potential Loyalists,1
CM-11935,Carlos Meador,709,2,565.392,1,1,1,3,Lost Customers,1
CM-12115,Chad McGuire,9,4,1661.6100000000001,5,1,2,8,Potential Loyalists,0
CM-12160,Charles McCrossin,27,6,2533.314,5,3,3,11,Loyal Customers,0
CM-12190,Charlotte Melton,9,6,1475.144,5,3,2,10,Loyal Customers,0
CM-12235,Chris McAfee,386,5,2305.712,1,2,3,6,At Risk,1
CM-12385,Christopher Martinez,38,4,8954.019999999999,4,1,5,10,Loyal Customers,0
CM-12445,Chuck Magee,437,3,287.99,1,1,1,3,Lost Customers,1
CM-12655,Corinna Mitchell,28,6,6339.5576,4,3,5,12,Loyal Customers,0
CM-12715,Craig Molinari,1036,4,3984.4524,1,1,4,6,At Risk,1
CP-12085,Cathy Prescott,83,8,5402.254,3,4,5,12,Loyal Customers,0
CP-12340,Christine Phan,161,8,5888.275,2,4,5,11,Loyal Customers,1
CR-12580,Clay Rozendal,58,4,2148.852,3,1,3,7,Potential Loyalists,0
CR-12625,Corey Roper,471,3,475.9,1,1,1,3,Lost Customers,1
CR-12730,Craig Reiter,79,4,1600.55,3,1,2,6,At Risk,0
CR-12820,Cyra Reiten,86,3,1397.8724,3,1,2,6,At Risk,0
CS-11845,Cari Sayre,92,5,1278.954,3,2,2,7,Potential Loyalists,1
CS-11860,Cari Schnelling,163,6,537.632,2,3,1,6,At Risk,1
CS-11950,Carlos Soltero,26,11,3036.547,5,5,4,14,Champions,0
CS-12130,Chad Sievert,490,4,884.64,1,1,1,3,Lost Customers,1
CS-12175,Charles Sheldon,233,5,844.4580000000001,1,2,1,4,At Risk,1
CS-12250,Chris Selesnick,27,12,2754.216,5,5,4,14,Champions,0
CS-12355,Christine Sundaresam,7,11,3202.1620000000003,5,5,4,14,Champions,0
CS-12400,Christopher Schild,3,9,3651.8585000000003,5,5,4,14,Champions,0
CS-12460,Chuck Sachs,28,2,550.644,4,1,1,6,At Risk,0
CS-12490,Cindy Schnelling,425,4,1077.2285,1,1,2,4,At Risk,1
CS-12505,Cindy Stewart,59,6,5690.054999999999,3,3,5,11,Loyal Customers,0
CT-11995,Carol Triggs,97,8,3241.898,3,4,4,11,Loyal Customers,1
CV-12295,Christina VanderZanden,255,5,2830.6279999999997,1,2,4,7,Potential Loyalists,1
CV-12805,Cynthia Voltz,6,9,2370.3136,5,5,3,13,Champions,0
CW-11905,Carl Weiss,23,6,1136.592,5,3,2,10,Loyal Customers,0
CY-12745,Craig Yedwab,61,8,2900.026,3,4,4,11,Loyal Customers,0
Co-12640,Corey-Lock,550,5,1300.076,1,2,2,5,At Risk,1
DA-13450,Dianna Arnett,353,4,156.76,1,1,1,3,Lost Customers,1
DB-12910,Daniel Byrd,22,8,2171.599,5,4,3,12,Loyal Customers,0
DB-12970,Darren Budd,242,5,2839.2272,1,2,4,7,Potential Loyalists,1
DB-13060,Dave Brooks,17,7,4531.646,5,3,5,13,Champions,0
DB-13120,David Bremer,49,7,2973.094,4,3,4,11,Loyal Customers,0
DB-13210,Dean Braden,10,10,2332.577,5,5,3,13,Champions,0
DB-13270,Deborah Brumfield,54,8,4655.897,4,4,5,13,Champions,0
DB-13360,Dennis Bolton,265,5,1081.466,1,2,2,5,At Risk,1
DB-13405,Denny Blanton,188,4,1711.692,2,1,2,5,At Risk,1
DB-13555,Dorothy Badders,108,7,3908.8028,2,3,4,9,Potential Loyalists,1
DB-13615,Doug Bickford,34,7,1989.05,4,3,3,10,Loyal Customers,0
DB-13660,Duane Benoit,13,7,1155.202,5,3,2,10,Loyal Customers,0
DC-12850,Dan Campbell,38,9,3336.168,4,5,4,13,Champions,0
DC-13285,Debra Catini,24,5,1174.618,5,2,2,9,Potential Loyalists,0
DD-13570,Dorothy Dickinson,42,6,269.542,4,3,1,8,Potential Loyalists,0
DE-13255,Deanra Eno,720,5,2550.874,1,2,3,6,At Risk,1
DF-13135,David Flashing,701,3,2390.534,1,1,3,5,At Risk,1
DG-13300,Deirdre Greer,33,5,3195.818,4,2,4,10,Loyal Customers,0
DH-13075,Dave Hallsten,278,6,4932.872,1,3,5,9,Potential Loyalists,1
DH-13675,Duane Huffman,777,4,1043.096,1,1,2,4,At Risk,1
DJ-13420,Denny Joy,638,4,2012.52,1,1,3,5,At Risk,1
DJ-13510,Don Jones,49,8,2501.6879999999996,4,4,3,11,Loyal Customers,0
DJ-13630,Doug Jacobs,13,3,3356.398,5,1,4,10,Loyal Customers,0
DK-12835,Damala Kotsonis,22,12,3256.48,5,5,4,14,Champions,0
DK-12895,Dana Kaydos,46,5,4282.176,4,2,4,10,Loyal Customers,0
DK-12985,Darren Koutras,8,5,1687.04,5,2,2,9,Potential Loyalists,0
DK-13090,Dave Kipp,43,7,2650.557,4,3,3,10,Loyal Customers,0
DK-13150,David Kendrick,11,2,797.832,5,1,1,7,Potential Loyalists,0
DK-13225,Dean Katz,11,9,4802.394,5,5,5,15,Champions,0
DK-13375,Dennis Kane,20,8,3318.486,5,4,4,13,Champions,0
DL-12865,Dan Lawera,101,8,1503.112,3,4,2,9,Potential Loyalists,1
DL-12925,Daniel Lacy,58,6,3272.2,3,3,4,10,Loyal Customers,0
DL-13315,Delfina Latchford,23,8,1458.258,5,4,2,11,Loyal Customers,0
DL-13330,Denise Leinenbach,58,4,585.02,3,1,1,5,At Risk,0
DL-13495,Dionis Lloyd,77,8,3539.322,3,4,4,11,Loyal Customers,0
DM-12955,Dario Medina,115,7,1322.034,2,3,2,7,Potential Loyalists,1
DM-13015,Darrin Martin,58,7,6345.103,3,3,5,11,Loyal Customers,0
DM-13345,Denise Monton,23,8,4074.4719999999998,5,4,4,13,Champions,0
DM-13525,Don Miller,482,3,1376.792,1,1,2,4,At Risk,1
DN-13690,Duane Noonan,218,7,2139.79,2,3,3,8,Potential Loyalists,1
DO-13435,Denny Ordway,134,9,1300.0315,2,5,2,9,Potential Loyalists,1
DO-13645,Doug O'Connell,27,7,1267.316,5,3,2,10,Loyal Customers,0
DP-13000,Darren Powers,127,9,1050.636,2,5,2,9,Potential Loyalists,1
DP-13105,Dave Poirier,7,8,2215.002,5,4,3,12,Loyal Customers,0
DP-13165,David Philippe,813,2,1058.616,1,1,2,4,At Risk,1
DP-13390,Dennis Pardue,359,9,5480.723999999999,1,5,5,11,Loyal Customers,1
DR-12880,Dan Reichenbach,4,9,6528.034000000001,5,5,5,15,Champions,0
DR-12940,Daniel Raglin,51,8,8350.868,4,4,5,13,Champions,0
DS-13030,Darrin Sayre,94,4,1762.213,3,1,3,7,Potential Loyalists,1
DS-13180,David Smith,24,9,2881.8128,5,5,4,14,Champions,0
DV-13045,Darrin Van Huff,20,5,1119.483,5,2,2,9,Potential Loyalists,0
DV-13465,Dianna Vittorini,30,6,3341.587,4,3,4,11,Loyal Customers,0
DW-13195,David Wiener,70,6,1080.751,3,3,2,8,Potential Loyalists,0
DW-13480,Dianna Wilson,218,5,5271.628,2,2,5,9,Potential Loyalists,1
DW-13540,Don Weiss,99,5,344.08,3,2,1,6,At Risk,1
DW-13585,Dorothy Wardle,243,7,1204.854,1,3,2,6,At Risk,1
Dl-13600,Dorris liebe,120,5,755.602,2,2,1,5,At Risk,1
Dp-13240,Dean percer,85,11,7198.7609999999995,3,5,5,13,Champions,0
EA-14035,Erin Ashbrook,153,13,2846.705,2,5,4,11,Loyal Customers,1
EB-13705,Ed Braxton,49,9,3644.978,4,5,4,13,Champions,0
EB-13750,Edward Becker,36,10,3236.314,4,5,4,13,Champions,0
EB-13840,Ellis Ballard,91,5,4358.128,3,2,5,10,Loyal Customers,1
EB-13870,Emily Burns,101,10,2767.219,3,5,4,12,Loyal Customers,1
EB-13930,Eric Barreto,162,5,944.6000000000001,2,2,1,5,At Risk,1
EB-13975,Erica Bern,1,4,1643.255,5,1,2,8,Potential Loyalists,0
EB-14110,Eugene Barchas,114,6,3071.126,2,3,4,9,Potential Loyalists,1
EB-14170,Evan Bailliet,83,6,1186.326,3,3,2,8,Potential Loyalists,0
EC-14050,Erin Creighton,54,5,461.914,4,2,1,7,Potential Loyalists,0
ED-13885,Emily Ducich,136,8,3484.92,2,4,4,10,Loyal Customers,1
EG-13900,Emily Grady,23,5,1832.02,5,2,3,10,Loyal Customers,0
EH-13765,Edward Hooks,136,12,10310.880000000001,2,5,5,12,Loyal Customers,1
EH-13945,Eric Hoffmann,218,8,684.1709999999999,2,4,1,7,Potential Loyalists,1
EH-13990,Erica Hackney,406,6,825.9499999999999,1,3,1,5,At Risk,1
EH-14005,Erica Hernandez,3,7,1219.53,5,3,2,10,Loyal Customers,0
EH-14125,Eugene Hildebrand,153,10,3082.653,2,5,4,11,Loyal Customers,1
EH-14185,Evan Henry,106,6,923.884,2,3,1,6,At Risk,1
EJ-13720,Ed Jacobs,303,4,2162.174,1,1,3,5,At Risk,1
EJ-14155,Eva Jacobs,58,5,2656.691,3,2,3,8,Potential Loyalists,0
EK-13795,Eileen Kiefer,45,4,1303.478,4,1,2,7,Potential Loyalists,0
EL-13735,Ed Ludwig,78,2,124.28,3,1,1,5,At Risk,0
EM-13810,Eleni McCrary,133,5,2567.0099999999998,2,2,3,7,Potential Loyalists,1
EM-13825,Elizabeth Moffitt,56,8,2339.598,3,4,3,10,Loyal Customers,0
EM-13960,Eric Murdock,152,5,933.704,2,2,1,5,At Risk,1
EM-14065,Erin Mull,48,4,228.99,4,1,1,6,At Risk,0
EM-14095,Eudokia Martin,114,4,1041.0420000000001,2,1,2,5,At Risk,1
EM-14140,Eugene Moren,49,6,4588.436000000001,4,3,5,12,Loyal Customers,0
EM-14200,Evan Minnotte,159,3,366.822,2,1,1,4,At Risk,1
EN-13780,Edward Nazzal,288,4,2199.366,1,1,3,5,At Risk,1
EP-13915,Emily Phan,13,17,5478.0608,5,5,5,15,Champions,0
ER-13855,Elpida Rittenbach,422,3,1245.788,1,1,2,4,At Risk,1
ES-14020,Erica Smith,41,5,3510.4579999999996,4,2,4,10,Loyal Customers,0
ES-14080,Erin Smith,29,9,4657.924,4,5,5,14,Champions,0
FA-14230,Frank Atkinson,98,7,2984.054,3,3,4,10,Loyal Customers,1
FC-14245,Frank Carlisle,71,7,3418.742,3,3,4,10,Loyal Customers,0
FC-14335,Fred Chung,185,7,3889.366,2,3,4,9,Potential Loyalists,1
FG-14260,Frank Gastineau,35,7,1383.144,4,3,2,9,Potential Loyalists,0
FH-14275,Frank Hawley,38,10,4256.272,4,5,4,13,Champions,0
FH-14350,Fred Harton,213,4,2271.284,2,1,3,6,At Risk,1
FH-14365,Fred Hopkins,6,8,6987.196,5,4,5,14,Champions,0
FM-14215,Filia McAdams,8,10,2456.638,5,5,3,13,Champions,0
FM-14290,Frank Merwin,37,9,3736.198,4,5,4,13,Champions,0
FM-14380,Fred McMath,146,9,2523.266,2,5,3,10,Loyal Customers,1
FO-14305,Frank Olsen,39,10,2678.438,4,5,3,12,Loyal Customers,0
FP-14320,Frank Preis,24,8,4046.746,5,4,4,13,Champions,0
FW-14395,Fred Wasserman,363,3,79.75,1,1,1,3,Lost Customers,1
GA-14515,George Ashbrook,150,8,3919.7760000000003,2,4,4,10,Loyal Customers,1
GA-14725,Guy Armstrong,6,11,1398.382,5,5,2,12,Loyal Customers,0
GB-14530,George Bell,63,11,1568.44,3,5,2,10,Loyal Customers,0
GB-14575,Giulietta Baptist,14,5,4716.288,5,2,5,12,Loyal Customers,0
GD-14590,Giulietta Dortch,6,4,1888.07,5,1,3,9,Potential Loyalists,0
GG-14650,Greg Guthrie,44,9,2224.0,4,5,3,12,Loyal Customers,0
GH-14410,Gary Hansen,76,9,2819.4669999999996,3,5,4,12,Loyal Customers,0
GH-14425,Gary Hwang,51,4,4172.8460000000005,4,1,4,9,Potential Loyalists,0
GH-14485,Gene Hale,388,2,1361.2440000000001,1,1,2,4,At Risk,1
GH-14665,Greg Hansen,3,2,146.94080000000002,5,1,1,7,Potential Loyalists,0
GK-14620,Grace Kelly,113,9,6497.27,2,5,5,12,Loyal Customers,1
GM-14440,Gary McGarr,84,7,3582.8199999999997,3,3,4,10,Loyal Customers,0
GM-14455,Gary Mitchum,17,6,3078.624,5,3,4,12,Loyal Customers,0
GM-14500,Gene McClure,107,10,1255.682,2,5,2,9,Potential Loyalists,1
GM-14680,Greg Matthias,153,6,3163.628,2,3,4,9,Potential Loyalists,1
GM-14695,Greg Maxwell,118,3,6049.966,2,1,5,8,Potential Loyalists,1
GP-14740,Guy Phonely,766,2,236.53,1,1,1,3,Lost Customers,1
GR-14560,Georgia Rosenberg,1136,2,1284.38,1,1,2,4,At Risk,1
GT-14635,Grant Thornton,57,3,9351.212,3,1,5,9,Potential Loyalists,0
GT-14710,Greg Tran,37,11,11820.119999999999,4,5,5,14,Champions,0
GT-14755,Guy Thornton,35,4,226.436,4,1,1,6,At Risk,0
GW-14605,Giulietta Weimer,29,7,2189.019,4,3,3,10,Loyal Customers,0
GZ-14470,Gary Zandusky,8,9,4355.150000000001,5,5,5,15,Champions,0
GZ-14545,George Zrebassa,158,4,2454.6220000000003,2,1,3,6,At Risk,1
HA-14905,Helen Abelman,70,7,2163.3,3,3,3,9,Potential Loyalists,0
HA-14920,Helen Andreada,21,8,2584.158,5,4,3,12,Loyal Customers,0
HD-14785,Harold Dahlen,770,3,251.36,1,1,1,3,Lost Customers,1
HE-14800,Harold Engle,13,4,883.5319999999999,5,1,1,7,Potential Loyalists,0
HF-14995,Herbert Flentye,22,7,2533.1639999999998,5,4,3,12,Loyal Customers,0
HG-14845,Harry Greene,55,5,785.628,3,2,1,6,At Risk,0
HG-14965,Henry Goldwyn,24,12,3247.642,5,5,4,14,Champions,0
HG-15025,Hunter Glantz,7,7,3690.284,5,4,4,13,Champions,0
HH-15010,Hilary Holden,73,2,218.668,3,1,1,5,At Risk,0
HJ-14875,Heather Jas,127,5,358.1,2,2,1,5,At Risk,1
HK-14890,Heather Kirkland,152,8,4877.784,2,4,5,11,Loyal Customers,1
HL-15040,Hunter Lopez,44,6,12873.297999999999,4,3,5,12,Loyal Customers,0
HM-14860,Harry Marie,3,10,8236.7648,5,5,5,15,Champions,0
HM-14980,Henry MacAllister,248,4,736.276,1,1,1,3,Lost Customers,1
HP-14815,Harold Pawlan,31,7,1990.314,4,4,3,11,Loyal Customers,0
HR-14770,Hallie Redmond,14,5,1299.288,5,2,2,9,Potential Loyalists,0
HR-14830,Harold Ryan,160,7,5248.787,2,4,5,11,Loyal Customers,1
HW-14935,Helen Wasserman,118,8,9300.254,2,4,5,11,Loyal Customers,1
HZ-14950,Henia Zydlo,36,5,886.52,4,2,1,7,Potential Loyalists,0
IG-15085,Ivan Gibson,72,4,744.574,3,1,1,5,At Risk,0
IL-15100,Ivan Liston,143,7,5040.736,2,4,5,11,Loyal Customers,1
IM-15055,Ionia McGrath,410,3,2872.63,1,1,4,6,At Risk,1
IM-15070,Irene Maddox,391,7,4930.474,1,4,5,10,Loyal Customers,1
